Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
115,Dante Cunningham\cunnida01,SF,30,TOT,54,24,21.8,1.9,4.4,.439,0.6,2.1,.315,1.3,2.4,.547,.513,0.4,0.7,.541,1.0,2.8,3.8,0.6,0.6,0.3,0.4,1.5,4.9
115,Dante Cunningham\cunnida01,SF,30,NOP,51,24,21.9,1.9,4.4,.440,0.7,2.1,.324,1.3,2.3,.547,.518,0.4,0.7,.556,1.0,2.8,3.8,0.5,0.5,0.3,0.3,1.5,5.0
115,Dante Cunningham\cunnida01,SF,30,BRK,3,0,20.0,2.0,4.7,.429,0.0,1.0,.000,2.0,3.7,.545,.429,0.0,0.3,.000,1.3,2.7,4.0,1.7,1.3,0.3,1.7,1.7,4.0
116,Stephen Curry\curryst01,PG,29,GSW,43,43,32.9,8.4,17.2,.490,4.1,10.0,.413,4.3,7.2,.597,.610,5.5,6.0,.915,0.7,4.4,5.2,6.5,1.6,0.1,3.1,2.3,26.6
117,Troy Daniels\danietr01,SG,26,PHO,59,4,19.2,2.7,6.8,.401,2.2,5.5,.399,0.5,1.3,.410,.562,0.8,0.8,.918,0.1,1.1,1.3,0.6,0.2,0.1,0.7,1.8,8.4
118,Anthony Davis\davisan02,PF,24,NOP,51,51,36.4,10.0,18.6,.541,0.8,2.1,.367,9.3,16.4,.563,.562,6.5,7.9,.820,2.4,8.3,10.7,2.4,1.3,2.1,2.1,2.0,27.4
119,Deyonta Davis\davisde01,C,21,MEM,39,1,12.9,2.3,3.5,.638,0.0,0.0,,2.3,3.5,.638,.638,0.6,0.9,.686,1.1,2.5,3.6,0.5,0.3,0.7,0.6,1.8,5.1
120,Ed Davis\davised01,C,28,POR,58,0,18.7,2.2,3.9,.578,0.0,0.0,,2.2,3.9,.578,.578,1.1,1.6,.667,2.4,4.8,7.2,0.5,0.5,0.7,0.9,2.5,5.6
121,Dewayne Dedmon\dedmode01,C,28,ATL,40,24,23.6,4.1,7.4,.557,0.8,2.0,.385,3.4,5.5,.619,.608,1.1,1.4,.782,1.7,5.8,7.5,1.4,0.5,0.7,1.3,2.9,10.1
122,Sam Dekker\dekkesa01,PF,23,LAC,51,1,13.6,1.8,3.9,.463,0.2,1.1,.161,1.6,2.8,.579,.485,0.6,0.8,.674,0.6,1.9,2.5,0.6,0.4,0.1,0.5,1.0,4.4
123,Malcolm Delaney\delanma01,PG,28,ATL,51,3,19.1,2.0,5.3,.382,0.8,2.3,.359,1.2,3.0,.400,.460,1.3,1.6,.795,0.2,1.7,1.9,3.0,0.6,0.1,1.3,1.5,6.2
124,Matthew Dellavedova\dellama01,PG,27,MIL,37,3,19.0,1.5,4.0,.369,0.8,2.1,.377,0.7,1.9,.361,.466,0.6,0.7,.920,0.4,1.4,1.7,3.8,0.4,0.0,1.3,1.8,4.4
125,Luol Deng\denglu01,SF,32,LAL,1,1,13.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
126,DeMar DeRozan\derozde01,SG,28,TOR,57,57,34.0,8.3,18.1,.460,1.2,3.5,.330,7.2,14.6,.492,.492,5.9,7.1,.827,0.8,3.2,3.9,5.2,1.2,0.3,2.2,1.8,23.7
127,Cheick Diallo\diallch01,PF,21,NOP,30,0,8.6,1.5,2.8,.548,0.0,0.0,,1.5,2.8,.548,.548,0.7,0.9,.808,0.6,2.3,3.0,0.2,0.1,0.2,0.3,1.2,3.8
128,Gorgui Dieng\dienggo01,C,28,MIN,58,0,17.5,2.5,5.2,.492,0.2,0.8,.283,2.3,4.4,.530,.513,1.1,1.4,.762,1.3,3.2,4.5,1.0,0.7,0.5,0.8,1.9,6.4
129,Spencer Dinwiddie\dinwisp01,PG,24,BRK,58,48,29.0,4.3,11.2,.388,1.9,5.8,.338,2.4,5.4,.441,.475,2.9,3.6,.821,0.5,2.8,3.3,6.7,0.8,0.3,1.6,2.4,13.6
130,Tyler Dorsey\dorsety01,SG,21,ATL,33,1,12.7,1.7,4.5,.374,0.9,2.5,.358,0.8,2.0,.394,.473,0.6,0.9,.690,0.3,1.5,1.8,1.2,0.2,0.1,0.3,0.6,4.8
131,Damyean Dotson\dotsoda01,SG,23,NYK,26,2,8.7,1.1,2.7,.420,0.3,1.2,.258,0.8,1.5,.553,.478,0.3,0.3,.778,0.2,1.2,1.4,0.5,0.2,0.0,0.2,0.6,2.8
132,Milton Doyle\doylemi01,SG,24,BRK,6,0,10.5,1.2,4.2,.280,0.3,2.2,.154,0.8,2.0,.417,.320,0.3,0.5,.667,0.3,1.2,1.5,0.7,0.3,0.2,0.3,0.5,3.0
133,PJ Dozier\doziepj01,PG,21,OKC,2,0,1.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0
134,Goran Dragic\dragigo01,PG,31,MIA,53,53,31.8,6.5,14.7,.440,1.5,4.2,.360,5.0,10.5,.471,.491,2.9,3.8,.765,0.7,3.3,4.0,4.7,0.8,0.2,2.3,2.3,17.4
135,Larry Drew\drewla02,PG,27,PHI,3,0,5.0,0.3,2.3,.143,0.0,1.0,.000,0.3,1.3,.250,.143,0.0,0.0,,0.3,0.0,0.3,0.7,0.0,0.0,0.3,0.7,0.7
136,Andre Drummond\drumman01,C,24,DET,55,55,33.4,6.0,11.2,.535,0.0,0.1,.000,6.0,11.1,.540,.535,3.1,5.0,.625,5.0,10.7,15.7,3.6,1.6,1.6,2.7,3.2,15.1
137,Jared Dudley\dudleja01,PF,32,PHO,32,0,13.9,0.9,2.4,.359,0.5,1.6,.327,0.3,0.8,.423,.468,0.6,0.6,.900,0.2,1.5,1.7,1.8,0.5,0.1,0.5,1.6,2.8
138,Kris Dunn\dunnkr01,PG,23,CHI,41,32,29.4,5.7,13.2,.431,0.8,2.5,.317,4.9,10.7,.458,.461,1.3,1.9,.711,0.5,4.0,4.6,6.3,2.0,0.4,2.9,3.3,13.5
139,Kevin Durant\duranke01,PF,29,GSW,50,50,34.5,9.2,17.6,.523,2.6,6.1,.421,6.7,11.6,.576,.595,5.0,5.6,.886,0.5,6.3,6.8,5.5,0.8,1.9,3.1,2.1,26.0
140,Jarell Eddie\eddieja01,SF,26,BOS,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0
141,Henry Ellenson\ellenhe01,PF,21,DET,22,0,6.6,1.0,3.0,.333,0.4,1.2,.333,0.6,1.8,.333,.402,0.0,0.1,.333,0.3,1.5,1.8,0.4,0.1,0.0,0.4,0.5,2.5
142,Wayne Ellington\ellinwa01,SG,30,MIA,57,2,26.6,3.7,9.1,.406,2.9,7.6,.387,0.8,1.5,.500,.567,0.8,1.0,.842,0.3,2.7,3.0,1.0,0.6,0.1,0.6,1.1,11.2
143,Joel Embiid\embiijo01,C,23,PHI,44,44,31.4,8.3,17.1,.487,1.0,3.3,.297,7.3,13.8,.532,.515,6.1,7.7,.785,2.2,8.9,11.1,3.1,0.6,1.8,4.0,3.4,23.7
144,James Ennis\ennisja01,SF,27,TOT,48,14,23.1,2.5,5.0,.492,0.7,1.9,.356,1.8,3.1,.573,.558,1.5,1.7,.867,1.2,2.3,3.4,1.1,0.7,0.3,0.8,1.8,7.1
144,James Ennis\ennisja01,SF,27,MEM,45,14,23.4,2.4,4.9,.486,0.7,1.9,.357,1.7,3.1,.565,.554,1.4,1.6,.877,1.2,2.3,3.5,1.1,0.7,0.3,0.8,1.8,6.9
144,James Ennis\ennisja01,SF,27,DET,3,0,18.0,3.3,6.0,.556,0.7,2.0,.333,2.7,4.0,.667,.611,2.7,3.3,.800,1.0,1.7,2.7,0.7,0.7,0.3,0.0,1.3,10.0
145,Tyler Ennis\ennisty01,PG,23,LAL,34,11,10.9,1.3,3.5,.367,0.2,1.0,.182,1.1,2.6,.437,.392,0.4,0.5,.722,0.3,1.2,1.5,1.6,0.4,0.1,0.4,1.4,3.1
146,Jawun Evans\evansja01,PG,21,LAC,38,4,18.4,2.2,6.3,.343,0.3,1.3,.265,1.8,5.0,.363,.370,1.0,1.2,.787,0.2,1.8,2.0,2.4,0.9,0.2,1.1,2.2,5.6
147,Tyreke Evans\evansty01,PG,28,MEM,48,28,31.0,7.1,15.6,.455,2.1,5.4,.395,4.9,10.1,.487,.523,3.1,4.0,.795,0.9,4.3,5.1,5.0,1.0,0.3,2.1,1.9,19.5
148,Kenneth Faried\farieke01,PF,28,DEN,32,7,14.4,2.4,4.6,.514,0.0,0.0,.000,2.4,4.6,.517,.514,1.1,1.6,.706,2.1,2.7,4.8,0.6,0.4,0.4,0.7,1.6,5.9
149,Derrick Favors\favorde01,C,26,UTA,55,55,28.2,5.1,9.3,.551,0.1,0.6,.212,5.0,8.7,.574,.558,2.1,3.0,.693,2.6,4.8,7.4,1.3,0.8,1.0,1.3,2.2,12.4
150,Kay Felder\feldeka01,PG,22,TOT,15,0,9.1,1.3,4.5,.294,0.3,1.3,.211,1.1,3.3,.327,.324,0.7,0.8,.917,0.1,0.9,1.0,1.3,0.2,0.1,1.1,0.7,3.7
150,Kay Felder\feldeka01,PG,22,CHI,14,0,9.6,1.4,4.7,.303,0.3,1.3,.222,1.1,3.4,.333,.333,0.8,0.9,.917,0.1,0.9,1.0,1.4,0.2,0.1,1.1,0.8,3.9
150,Kay Felder\feldeka01,PG,22,DET,1,0,3.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
151,Cristiano Felicio\feliccr01,C,25,CHI,31,0,12.8,1.5,2.6,.585,0.0,0.0,,1.5,2.6,.585,.585,0.7,1.2,.611,1.1,1.6,2.7,0.7,0.1,0.2,0.6,1.7,3.8
152,Raymond Felton\feltora01,PG,33,OKC,59,2,17.3,2.7,6.7,.409,0.9,2.6,.346,1.8,4.1,.450,.477,0.5,0.7,.800,0.3,1.7,2.1,2.7,0.6,0.2,0.9,1.0,6.9
153,Terrance Ferguson\fergute01,SG,19,OKC,43,12,12.5,1.1,2.8,.388,0.6,2.0,.286,0.5,0.9,.622,.488,0.1,0.1,.833,0.4,0.4,0.8,0.3,0.4,0.1,0.2,1.5,2.9
154,Yogi Ferrell\ferreyo01,SG,24,DAL,58,17,29.0,3.7,8.6,.429,1.7,4.3,.391,2.0,4.4,.466,.526,1.1,1.4,.805,0.4,2.9,3.3,2.2,0.7,0.1,1.1,2.1,10.2
155,Dorian Finney-Smith\finnedo01,PF,24,DAL,8,1,11.8,1.3,2.8,.455,0.6,1.8,.357,0.6,1.0,.625,.568,0.1,0.3,.500,0.6,0.6,1.3,0.6,0.0,0.1,0.9,1.6,3.3
